chromosome	size	compressedMref	category
chr1	248956422	TRUE	autosome
chr2	242193529	TRUE	autosome
chr3	198295559	TRUE	autosome
chr4	190214555	TRUE	autosome
chr5	181538259	TRUE	autosome
chr6	170805979	TRUE	autosome
chr7	159345973	TRUE	autosome
chr8	145138636	TRUE	autosome
chr9	138394717	TRUE	autosome
chr10	133797422	TRUE	autosome
chr11	135086622	TRUE	autosome
chr12	133275309	TRUE	autosome
chr13	114364328	TRUE	autosome
chr14	107043718	TRUE	autosome
chr15	101991189	TRUE	autosome
chr16	90338345	TRUE	autosome
chr17	83257441	TRUE	autosome
chr18	80373285	TRUE	autosome
chr19	58617616	TRUE	autosome
chr20	64444167	TRUE	autosome
chr21	46709983	TRUE	autosome
chr22	50818468	TRUE	autosome
chrX	156040895	TRUE	gonosome
chrY	57227415	TRUE	gonosome
chrM	16569	FALSE	extrachromosomal
chr1_KI270706v1_random	175055	TRUE	unassigned
chr1_KI270707v1_random	32032	TRUE	unassigned
chr1_KI270708v1_random	127682	TRUE	unassigned
chr1_KI270709v1_random	66860	TRUE	unassigned
chr1_KI270710v1_random	40176	TRUE	unassigned
chr1_KI270711v1_random	42210	TRUE	unassigned
chr1_KI270712v1_random	176043	TRUE	unassigned
chr1_KI270713v1_random	40745	TRUE	unassigned
chr1_KI270714v1_random	41717	TRUE	unassigned
chr2_KI270715v1_random	161471	TRUE	unassigned
chr2_KI270716v1_random	153799	TRUE	unassigned
chr3_GL000221v1_random	155397	TRUE	unassigned
chr4_GL000008v2_random	209709	TRUE	unassigned
chr5_GL000208v1_random	92689	TRUE	unassigned
chr9_KI270717v1_random	40062	TRUE	unassigned
chr9_KI270718v1_random	38054	TRUE	unassigned
chr9_KI270719v1_random	176845	TRUE	unassigned
chr9_KI270720v1_random	39050	TRUE	unassigned
chr11_KI270721v1_random	100316	TRUE	unassigned
chr14_GL000009v2_random	201709	TRUE	unassigned
chr14_GL000225v1_random	211173	TRUE	unassigned
chr14_KI270722v1_random	194050	TRUE	unassigned
chr14_GL000194v1_random	191469	TRUE	unassigned
chr14_KI270723v1_random	38115	TRUE	unassigned
chr14_KI270724v1_random	39555	TRUE	unassigned
chr14_KI270725v1_random	172810	TRUE	unassigned
chr14_KI270726v1_random	43739	TRUE	unassigned
chr15_KI270727v1_random	448248	TRUE	unassigned
chr16_KI270728v1_random	1872759	TRUE	unassigned
chr17_GL000205v2_random	185591	TRUE	unassigned
chr17_KI270729v1_random	280839	TRUE	unassigned
chr17_KI270730v1_random	112551	TRUE	unassigned
chr22_KI270731v1_random	150754	TRUE	unassigned
chr22_KI270732v1_random	41543	TRUE	unassigned
chr22_KI270733v1_random	179772	TRUE	unassigned
chr22_KI270734v1_random	165050	TRUE	unassigned
chr22_KI270735v1_random	42811	TRUE	unassigned
chr22_KI270736v1_random	181920	TRUE	unassigned
chr22_KI270737v1_random	103838	TRUE	unassigned
chr22_KI270738v1_random	99375	TRUE	unassigned
chr22_KI270739v1_random	73985	TRUE	unassigned
